witness_qualified	witness_module	failure_class	error_message	reference_bare_name	selected_decl_module	selected_decl_params	candidate_decl_modules	scope_module_count	scope_ambiguous_bare_names
test.claim.ice40_supply_witness.w_the_io_standard_is_tighter_than_the_bank_rail	test.claim.ice40_supply_witness	call_contract_mismatch	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])	admits	test.claim.check_coverage_admission_witness	coverage	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	909	62
test.claim.ice40_supply_witness.w_the_pll_rail_follows_the_core_not_the_banks	test.claim.ice40_supply_witness	call_contract_mismatch	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])	admits	test.claim.check_coverage_admission_witness	coverage	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	909	62
test.claim.instrument_camera_witness.instrument_camera_keystone_holds	test.claim.instrument_camera_witness	other	non-exhaustive pattern match on: SalienceSupporting					929	56
test.claim.interp_recorded_fixture_witness_test.interp_recorded_fixture_keystone_holds	test.claim.interp_recorded_fixture_witness_test	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
test.claim.interpreter_replacement_cut_witness_test.interpreter_cut_plan_refuses_with_open_decisions	test.claim.interpreter_replacement_cut_witness_test	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'causes' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.interpreter_replacement_cut_witness_test	910	92
test.claim.interpreter_replacement_cut_witness_test.retiring_with_x_needs_no_coverage_authority	test.claim.interpreter_replacement_cut_witness_test	other	returned Bool(false)					910	92
test.claim.live_deploy.apply.witness_digest_readback_script_is_bounded_and_post_mutation	test.claim.live_deploy.apply	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					758	10
test.claim.live_deploy.emit.witness_blue_and_green_retirement_both_preserve_reusable_dispatch_state	test.claim.live_deploy.emit	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.emit.witness_retract_attempt_state_root_refuses_when_nonempty	test.claim.live_deploy.emit	other	witness receipt wall budget exceeded: 502ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					815	17
test.claim.live_deploy.emit.witness_retract_preamble_acknowledges_shared_sudoers_install	test.claim.live_deploy.emit	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.emit.witness_scripts_stay_within_ci_runner_grants	test.claim.live_deploy.emit	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.emit.witness_retract_script_owned_only	test.claim.live_deploy.emit	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.emit.witness_retract_owned_process_removes_serve_service	test.claim.live_deploy.emit	other	eval budget exceeded: 507ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.emit.emitted_twin_retract_removes_nothing_of_productions	test.claim.live_deploy.emit	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.emit.twin_and_production_configure_disjoint_tailscale_endpoints	test.claim.live_deploy.emit	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					815	17
test.claim.live_deploy.emit.retract_is_not_emitted_without_an_observed_scoped_removal	test.claim.live_deploy.emit	other	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					815	17
test.claim.live_deploy.readiness.witness_ssh_mock_stdout_is_discriminating_red	test.claim.live_deploy.readiness	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					758	10
test.claim.live_deploy.readiness.witness_accept_no_response_probe_fails_fast_not_hangs	test.claim.live_deploy.readiness	other	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					758	10
test.claim.live_deploy.readiness.witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	test.claim.live_deploy.readiness	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					758	10
test.claim.live_deploy.readiness.witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep	test.claim.live_deploy.readiness	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					758	10
test.claim.live_deploy.readiness.witness_bounded_poll_early_exit_on_grounded_read	test.claim.live_deploy.readiness	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					758	10
test.claim.live_deploy.running_release_identity_witness_test.witness_matching_release_and_surface_grounds	test.claim.live_deploy.running_release_identity_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_readiness_refuses_when_reported_revision_is_not_the_admitted_one	test.claim.live_deploy.running_release_identity_witness_test	other	witness receipt wall budget exceeded: 502ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_third_candidate_still_sees_launched_revision	test.claim.live_deploy.running_release_identity_witness_test	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_body_without_release_identity_refuses	test.claim.live_deploy.running_release_identity_witness_test	other	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_correct_artifacts_with_wrong_bundle_identity_refuses	test.claim.live_deploy.running_release_identity_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_correct_identity_with_one_stale_artifact_refuses	test.claim.live_deploy.running_release_identity_witness_test	other	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_surface_projection_ignores_identity_members	test.claim.live_deploy.running_release_identity_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_identity_round_trips_from_served_body	test.claim.live_deploy.running_release_identity_witness_test	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					757	11
test.claim.live_deploy.running_release_identity_witness_test.witness_absent_identity_is_typed_absent_not_unparseable	test.claim.live_deploy.running_release_identity_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					757	11
test.claim.qualified_declaration_reference_emit_cross_module_witness.cross_module_qualified_reference_emits_call_from_correct_module	test.claim.qualified_declaration_reference_emit_cross_module_witness	other	exceeded Cpu budget (695ms elapsed against 500ms)					910	97
test.claim.materialization_ladder_witness.authored_duplication_in_shared_frame_is_error	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.cross_frame_duplicate_discharged_by_covering_provider	test.claim.materialization_ladder_witness	other	non-exhaustive pattern match on: RoleAdmitted					911	97
test.claim.materialization_ladder_witness.obligation_without_provider_is_typed_refusal	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.provider_scope_too_narrow_is_refused	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.existence_keyed_provider_is_refused	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.declared_replay_frame_obligates_up_front	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.unbounded_siblings_frame_obligates_up_front	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.fresh_effect_duplication_is_exempt_not_cached	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.world_read_without_envelope_is_refused	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.world_read_with_declared_envelope_is_discharged	test.claim.materialization_ladder_witness	other	non-exhaustive pattern match on: RoleAdmitted					911	97
test.claim.materialization_ladder_witness.single_pure_demand_is_accepted_recompute	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.zero_demand_pure_declaration_is_dead_computation	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.zero_demand_effect_is_the_use_not_dead	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_single_take_no_borrows_is_moved	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_plural_readonly_is_shared_by_reference	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_take_with_borrows_is_priced_demotion_to_copy	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_fold_carry_excluded_from_plurality_but_blocks_move	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_double_take_is_affine_refusal_not_a_caching_opportunity	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_reference_share_requires_the_carrier_capability	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.value_demotion_requires_declared_copy_provider	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])	edge	gunbc.roadmap_authority	child, parent	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.reference_provider_cannot_discharge_isolation_obligation	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.below_cost_floor_duplication_is_typed_acceptance	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.conflicting_natures_on_one_identity_are_refused	test.claim.materialization_ladder_witness	call_contract_mismatch	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])	count_matching	product.compute_board.admission	names, name	product.compute_board.admission|test.claim.materialization_ladder_witness	911	97
test.claim.materialization_ladder_witness.ineligible_provider_first_does_not_mask_eligible_one	test.claim.materialization_ladder_witness	other	non-exhaustive pattern match on: RoleRefused { reason: CapacityUnobservedForRole }					911	97
test.claim.materialization_ladder_witness.eligible_provider_first_gives_the_same_verdict	test.claim.materialization_ladder_witness	other	non-exhaustive pattern match on: RoleAdmitted					911	97
test.claim.materialization_ladder_witness.persistent_unbounded_only_refuses_with_the_unbounded_cause	test.claim.materialization_ladder_witness	other	non-exhaustive pattern match on: RoleRefused { reason: CapacityUnboundedForRole }					911	97
test.claim.materialization_ladder_witness.persistent_unobserved_only_refuses_with_the_unobserved_cause	test.claim.materialization_ladder_witness	other	non-exhaustive pattern match on: RoleRefused { reason: CapacityUnobservedForRole }					911	97
test.claim.materialization_provider_witness.request_kinds_ground_on_cache_identity_rows	test.claim.materialization_provider_witness	other	non-exhaustive pattern match on: DeclaredInput { digest: Fnv1a64Structural { digest: 62667a6cb1d4d2bb }, ref: compiler_binary_identity }					913	80
test.claim.materialization_provider_witness.request_kind_is_in_the_key	test.claim.materialization_provider_witness	other	non-exhaustive pattern match on: DeclaredInput { digest: Fnv1a64Structural { digest: 62667a6cb1d4d2bb }, ref: compiler_binary_identity }					913	80
test.claim.materialization_provider_witness.admission_within_budget_is_admitted_without_eviction	test.claim.materialization_provider_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	913	80
test.claim.materialization_provider_witness.admission_over_budget_evicts_least_recent_and_counts_it	test.claim.materialization_provider_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	913	80
test.claim.materialization_provider_witness.red_understated_bytes_alone_are_refused_wrong_content_not_admitted	test.claim.materialization_provider_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	913	80
test.claim.materialized_secret.witness_enabled_but_unprobed_refuses	test.claim.materialized_secret	no_such_function	no such function: gunbc_ci_github_app	gunbc_ci_github_app				910	97
test.claim.materialized_secret.witness_enabled_but_revoked_refuses	test.claim.materialized_secret	no_such_function	no such function: gunbc_ci_github_app	gunbc_ci_github_app				910	97
test.claim.materialized_secret.witness_live_secret_materializes_and_runs_the_use	test.claim.materialized_secret	no_such_function	no such function: gunbc_ci_github_app	gunbc_ci_github_app				910	97
test.claim.materialized_secret.witness_destroyed_version_refuses_even_when_probe_says_live	test.claim.materialized_secret	no_such_function	no such function: gunbc_ci_github_app	gunbc_ci_github_app				910	97
test.claim.materialized_secret.witness_self_repairing_probe_is_refused_by_classification	test.claim.materialized_secret	no_such_function	no such function: gunbc_ci_github_app	gunbc_ci_github_app				910	97
test.claim.materialized_secret.witness_red_control_existence_only_rejected_by_gate	test.claim.materialized_secret	no_such_function	no such function: gunbc_ci_github_app	gunbc_ci_github_app				910	97
test.claim.materialized_ssh_key_file_real_execution_witness.witness_ssh_key_bracket_write_owner_only_shreds_and_not_under_target	test.claim.materialized_ssh_key_file_real_execution_witness	other	type error: hermetic mode: no mock_response for operation Get — refusing to fabricate Unit					886	48
test.claim.materialized_ssh_key_file_real_execution_witness.witness_write_owner_only_refuses_when_path_already_exists	test.claim.materialized_ssh_key_file_real_execution_witness	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					886	48
gunbc.test.claim.namespace_graft_body_dissolution_witness_test.witness_type_fn_module_dissolution_refuses_RED	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					882	47
gunbc.test.claim.namespace_graft_body_dissolution_witness_test.witness_type_only_module_dissolution_refuses_RED	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					882	47
gunbc.test.claim.namespace_graft_body_dissolution_witness_test.witness_lowered_body_module_still_grafts	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	other	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					882	47
gunbc.test.claim.namespace_graft_body_dissolution_witness_test.witness_header_only_module_still_accepts	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	other	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					882	47
test.claim.namespace_import_closure_witness.namespace_import_closure_receipt_holds	test.claim.namespace_import_closure_witness	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					90	1
test.claim.namespace_reference_derived_closure_acceptance.witness_namespace_reference_derived_closure_closing_contract_holds	test.claim.namespace_reference_derived_closure_acceptance	other	returned Bool(false)					916	90
test.claim.non_fold_residue_witness.non_fold_residue_clean_holds	test.claim.non_fold_residue_witness	other	returned Bool(false)					910	97
test.claim.observation_raw_print_retirement_acceptance_test.observation_emit_frontier_is_zero	test.claim.observation_raw_print_retirement_acceptance_test	other	returned Bool(false)					911	88
test.claim.occurrence_identity_witness_test.occurrence_identity_typed_ordinal_boundary_refuses_raw_scalar_holds	test.claim.occurrence_identity_witness_test	other	exceeded Cpu budget (1363ms elapsed against 500ms)					9	0
test.claim.optional_carrier_signature_test.optional_string_return_renders_option_signature	test.claim.optional_carrier_signature_test	other	exceeded Cpu budget (662ms elapsed against 500ms)					910	97
test.claim.optional_carrier_signature_test.non_optional_string_return_stays_bare	test.claim.optional_carrier_signature_test	other	exceeded Cpu budget (681ms elapsed against 500ms)					910	97
test.claim.optional_carrier_signature_test.optional_shared_type_return_renders_option_rc_signature	test.claim.optional_carrier_signature_test	other	exceeded Cpu budget (672ms elapsed against 500ms)					910	97
test.claim.optional_carrier_signature_test.non_optional_shared_type_return_stays_bare_rc	test.claim.optional_carrier_signature_test	other	exceeded Cpu budget (657ms elapsed against 500ms)					910	97
test.claim.optional_consumer_fail_closed_test.required_param_optional_arg_emits_located_fail_closed_unwrap	test.claim.optional_consumer_fail_closed_test	other	exceeded Cpu budget (642ms elapsed against 500ms)					910	97
test.claim.optional_consumer_fail_closed_test.required_param_nonoptional_arg_stays_bare	test.claim.optional_consumer_fail_closed_test	other	exceeded Cpu budget (676ms elapsed against 500ms)					910	97
test.claim.parse_test.parse_witness_floor_holds	test.claim.parse_test	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
test.claim.parse_test.parse_witness_perf_holds	test.claim.parse_test	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
test.claim.pijul_upstream_model_witness.witness_pijul_fixture_uniqueness_frontier_is_clear	test.claim.pijul_upstream_model_witness	call_contract_mismatch	call contract mismatch calling 'fixture_identity': no parameter named 'hash' (declared: [])	fixture_identity	test.claim.compute_board_spice_projection_witness		test.claim.compute_board_spice_projection_witness|test.claim.pijul_upstream_model_witness	911	64
